milhas_por_ano,ano_do_modelo,preco,vendido
18779,2007,83091.96,no
6970,2006,38810.77,yes
12030,1999,64021.74,no
6736,2001,59679.59,yes
19236,1998,70260.51,yes
21644,1998,33855.29,yes
14808,2001,90108.76,yes
7749,2015,70021.62,no
12183,2012,88631.4,yes
12076,2006,94664.91,no
6546,2007,99968.88,no
6496,2008,50061.13,yes
10779,2004,60974.59,yes
15667,2000,82931.27,no
17929,1999,39039.59,yes
18390,2010,53963.73,yes
8379,2002,15305.7,yes
8596,2011,45718.37,no
10860,2006,96180.51,yes
8724,2007,39007.92,yes
24981,1999,88150.84,no
11143,2008,97110.55,yes
26091,2006,86931.31,no
12248,2000,24341.89,yes
9074,2011,42751.8,yes
19545,2003,71739.52,no
6040,2006,65241.32,no
7796,1999,73067.51,yes
12084,1998,60570.37,yes
10753,2000,64984.26,no
10775,2002,80657.07,yes
11071,2003,83781.08,no
25049,2001,23448.52,yes
11609,2001,39346.34,yes
22207,2006,71532.28,no
27565,2000,70118.54,no
8425,2003,70719.34,yes
11259,1998,36936.61,yes
11122,2008,95422.54,yes
14190,2000,60788.08,no
14122,1998,73153.25,yes
14259,1999,72758.98,no
11893,2001,41366.51,yes
28868,2013,54764.77,no
11921,2005,62605.17,yes
11130,2006,37530.15,yes
9755,1998,61726.41,no
11346,2011,67703.88,no
21484,2002,65691.55,no
9761,2008,38234.77,yes
27781,2001,97033.21,no
16090,2007,34119.04,yes
10899,2002,95342.37,no
18872,2003,65200.08,no
21936,2006,73548.4,no
13432,1999,40769.51,yes
27036,2003,48927.78,yes
14989,2000,80858.31,no
8315,2003,48885.2,yes
20589,2003,35631.97,yes
25915,2007,79025.54,no
15216,2007,49590.78,no
8393,2002,24614.46,yes
14597,2006,85914.82,no
8809,2013,84192.06,yes
13138,2016,110558.98,no
14464,2004,78617.01,no
27585,2001,58933.0,yes
13468,2011,45677.29,yes
9994,2000,78547.52,yes
18208,2001,41605.44,yes
8779,1999,30481.01,yes
14259,2010,105677.42,yes
10178,2004,45817.6,yes
20550,2009,96407.65,no
18194,1998,80183.01,no
13564,2015,48616.33,yes
9485,2009,58761.47,yes
16048,2001,56037.14,yes
19812,2001,34621.52,yes
13741,2016,108416.34,yes
22014,2010,97926.72,no
11869,2010,65811.04,yes
10572,2009,50146.34,no
7698,2006,109215.68,yes
16572,2001,56158.82,no
22330,2002,25495.31,yes
7915,2012,93179.79,yes
15093,2008,80301.3,no
9257,2011,80608.35,yes
4702,2011,70524.3,yes
13957,1998,50307.59,yes
13322,2004,52763.86,no
22469,2005,74560.79,no
24880,1999,50272.61,yes
10501,2010,48031.11,yes
7133,2006,60835.06,no
12392,1998,103001.47,no
19147,1998,44724.71,no
22890,2007,62896.9,no
16634,2012,36757.34,yes
10490,2007,99345.47,no
17268,1999,35187.66,yes
18098,1999,60494.2,no
17714,2008,32140.32,yes
11055,1998,72494.65,no
12988,2010,60963.98,yes
17744,2002,29846.95,yes
11944,2000,96629.93,no
17102,2000,17099.53,yes
13569,2009,91871.81,no
12592,2001,105254.27,yes
16587,1999,66800.19,no
17507,2011,71884.55,no
22757,2000,99362.45,yes
9832,2003,65502.27,no
15584,2014,61589.68,no
11605,1998,85528.69,yes
19196,2003,51048.1,yes
9938,2014,89204.35,no
11661,2005,34106.61,yes
13282,2003,93591.27,yes
8644,1998,42460.74,yes
9276,2004,105170.22,yes
25101,1998,89394.0,no
14001,2010,81849.27,no
20403,2002,21698.45,yes
7293,1999,67026.41,yes
18904,2002,58795.57,yes
21374,2001,32578.24,yes
8745,2012,106744.63,no
13200,2008,50227.03,yes
16191,1998,29275.66,yes
16680,2013,87249.72,no
26837,1998,60412.78,no
9139,1999,58403.01,yes
12570,1998,60611.05,yes
9349,2014,51375.39,no
14740,2010,94724.39,yes
16478,2008,115907.54,yes
17248,1999,108072.15,yes
9487,1999,71393.18,yes
21920,2000,64356.4,no
12126,2001,65512.96,no
23175,2005,73526.68,no
10615,2000,86962.43,yes
10307,2009,75308.4,yes
13175,2002,77450.66,no
16801,2001,87133.58,no
7608,2007,72921.91,no
24152,2011,54881.34,yes
15938,2005,51414.06,yes
19269,2005,73995.74,no
17855,1998,58540.97,no
15972,2007,92527.23,no
7150,2001,67457.71,no
28770,1999,42270.45,yes
6621,2014,66502.41,no
7388,2005,76128.49,no
18208,2000,48176.44,yes
8715,2006,99855.89,no
6411,2012,32988.68,yes
15357,2004,95672.85,no
7946,2001,40562.78,yes
8944,2010,89447.12,yes
22048,2009,101020.51,yes
19395,2000,61876.6,no
10008,1999,10523.62,yes
9332,1999,50350.21,yes
8801,2003,71042.66,yes
21686,2008,89330.23,yes
17697,2002,38275.15,yes
13099,2006,56944.59,no
9671,2003,71172.51,no
8388,2004,21425.97,yes
13615,1999,33195.17,yes
14785,2002,80133.35,yes
19801,2007,95451.76,no
11053,2005,75429.15,no
18855,2006,73828.87,no
7854,2009,53441.7,no
19274,2004,87397.7,no
19761,1998,40425.74,yes
13337,2004,59712.76,yes
8492,2003,53620.03,yes
14911,2005,69926.45,no
14116,2008,99947.31,yes
17583,2001,71901.77,no
17566,2011,75606.69,no
16998,2001,100109.51,yes
10875,2005,54470.12,yes
23439,2002,55234.23,no
8864,1999,16100.55,yes
18979,2002,27837.75,yes
14510,2005,92347.47,yes
8566,2006,51786.94,yes
11479,2006,88147.2,yes
13015,2002,48748.05,yes
12209,1998,82718.96,yes
10763,2002,47725.66,yes
6876,1999,96824.04,yes
27768,2008,70160.04,no
12286,2002,106663.84,yes
9143,1998,12679.47,yes
16970,2011,53256.53,no
23958,2006,75329.62,no
14024,2004,42410.77,yes
9231,2000,48904.71,no
20437,2011,38707.38,yes
11995,2001,87000.67,yes
11124,2006,55680.57,no
19622,2000,31682.9,yes
19200,2008,59919.38,yes
7738,2005,98076.26,yes
14303,2006,97051.88,no
22886,2000,31384.59,yes
10463,2000,100902.05,yes
13489,2007,52934.42,yes
15092,2003,78931.13,no
10644,1998,82494.0,yes
13558,1998,52238.42,yes
12670,2002,53840.35,yes
14937,2009,35711.03,yes
14114,2007,81582.81,no
12902,2000,83509.77,yes
11111,1999,32167.57,yes
9539,2011,114609.66,yes
11911,2000,54940.25,no
8181,1999,100368.11,yes
17686,2009,48481.31,no
6300,1999,68456.86,no
20743,2009,81234.8,no
9544,1999,27338.23,yes
21031,2011,83224.59,no
20947,1998,16021.54,yes
13572,2001,110580.13,no
17392,2010,80300.46,no
18251,2013,103801.19,no
12051,2004,55874.91,yes
13795,1998,46315.44,no
15680,2003,75938.53,no
15790,2008,55401.34,yes
5778,2005,65761.48,no
6720,1999,27817.54,yes
8645,1999,19850.82,yes
19972,2014,95755.37,no
11680,2010,40400.53,yes
16728,2004,110690.57,yes
17981,2001,27716.48,yes
20345,2004,70343.39,no
7683,2008,98412.88,no
23892,2001,80541.59,no
13454,2007,96096.25,no
19931,2001,77244.26,no
13606,2006,68299.71,no
10602,2005,111244.38,no
8723,2005,90401.7,yes
11286,2005,26955.05,yes
18123,2009,60646.51,no
11304,2003,83964.09,yes
9863,2000,84740.57,no
11888,2000,70549.92,no
9470,2006,55664.61,yes
9924,1999,40858.27,yes
17260,2002,37208.98,yes
12367,1998,106805.75,yes
12447,2002,85981.58,yes
13318,2007,90746.74,no
24522,2007,25530.37,yes
12454,1998,42114.38,yes
22558,2002,62955.76,no
16866,2010,62601.2,no
9805,1999,14413.13,yes
15253,2012,57965.53,yes
12166,2006,63861.1,yes
18022,1998,32423.59,yes
16831,2000,43559.2,yes
12756,2008,104052.72,yes
5674,2002,68838.93,yes
16968,2004,85783.86,no
14292,1999,88167.15,no
14155,2005,42538.65,yes
10878,1998,97880.4,no
13925,2000,62681.06,no
8243,1998,52926.99,yes
12735,2003,67329.21,yes
7950,2005,20846.59,yes
16873,1999,58939.63,yes
7855,2012,88674.81,no
15729,2007,49765.05,yes
14510,2002,41307.46,yes
9902,2008,45362.91,yes
12297,2000,50057.74,yes
9078,2002,44310.77,yes
23919,2002,51853.51,yes
16180,2007,65149.93,no
20297,2004,85506.78,no
19970,1999,71596.17,no
9993,2005,55055.51,yes
15449,2014,49025.81,yes
15049,2002,60821.74,no
23117,2004,81831.6,no
11762,2009,82521.32,yes
15785,2013,78328.58,no
18980,1999,31185.41,yes
9319,2005,61411.58,no
16810,2004,66153.58,no
14943,2003,55137.78,yes
20909,2004,50513.62,no
21530,2003,35149.84,yes
17415,2003,83297.56,no
7603,2004,93908.17,no
13727,2008,104612.09,yes
11752,2000,55070.37,no
12624,2012,82861.88,no
15197,2000,41954.96,yes
14051,2002,106143.54,yes
12356,2001,96169.66,no
15173,2002,51913.4,no
8069,2002,59815.67,yes
14894,1998,90189.83,no
16270,2004,86648.92,no
17866,1998,25472.09,yes
12780,1999,23477.18,yes
15578,2006,88926.53,no
11862,2005,47535.86,no
13175,2000,52835.52,yes
23038,2006,60396.79,no
15055,2009,47491.72,yes
8507,1998,55869.47,no
6420,2010,44250.73,yes
15322,1998,27710.15,yes
16914,2008,114701.35,no
19354,2003,56185.73,yes
17259,2003,52716.99,yes
10214,2001,30496.76,yes
26432,2000,30686.29,yes
9792,2003,55129.13,no
15392,2010,29643.29,yes
12324,2003,68762.98,no
10902,2012,82962.29,yes
13750,1999,16907.72,yes
11946,2002,30812.73,yes
15604,2013,46181.5,yes
8947,2007,54531.19,no
8338,1998,96511.12,no
23369,2005,57887.84,yes
22626,2006,63543.24,no
15808,2000,45855.28,yes
12739,2010,77605.68,yes
9960,2000,17118.01,yes
5496,1999,96670.08,yes
9758,2005,43224.35,yes
12470,1999,60916.85,yes
11160,2000,64801.02,no
16915,2006,52450.74,yes
8196,2003,60177.16,no
17064,2006,100429.64,yes
18282,1998,69907.81,yes
15008,2003,58367.72,no
15921,2006,92028.22,no
19222,2002,21990.03,yes
13097,2004,67815.16,no
5767,2007,107739.84,no
13338,2001,34201.64,yes
15872,2012,77844.32,no
20543,2001,29576.99,yes
16502,2005,53445.79,yes
24680,1998,63403.84,no
23613,2009,45854.85,no
10363,2007,37776.96,yes
13920,2008,114977.51,yes
9939,1998,94770.54,no
10208,2007,39677.04,yes
16604,2005,68765.21,no
13961,2010,60557.45,yes
12600,2002,52459.5,yes
15912,2002,101767.23,no
19755,1998,45658.62,yes
13704,2000,97645.54,no
7740,2002,79332.74,no
19644,2000,71344.99,no
20122,2000,96267.37,no
14178,2012,97742.8,yes
12228,1998,71730.69,no
14938,2000,92118.45,no
8277,2007,86895.79,no
10600,2003,80811.89,yes
14146,2007,60301.19,no
8851,2002,72823.12,no
11151,2000,64421.22,yes
17193,2005,97257.56,no
17746,2003,86046.63,no
11667,2004,66538.26,no
20444,2014,55775.43,no
11994,2008,75998.38,no
10123,2013,41081.74,no
19103,2005,59857.03,yes
37394,2013,64190.79,no
10598,2007,73410.03,no
11670,2009,99430.17,yes
14150,2003,50957.91,yes
19311,2003,84360.9,no
16091,2008,93693.78,no
18190,2007,50087.6,yes
23919,2005,44378.87,yes
17909,2003,95736.89,no
12224,2002,25309.79,yes
15262,2004,89301.89,no
20494,2000,37872.08,yes
13973,2010,32015.55,yes
7797,2000,53270.42,no
11816,2009,35354.08,yes
23553,2007,102614.05,yes
11942,2000,60686.91,yes
16926,2002,32230.06,yes
11492,2003,28056.3,yes
13450,2012,80387.31,no
16092,1998,90394.28,no
14230,2003,78238.12,yes
9639,2000,20636.39,yes
6385,2009,62340.6,yes
13482,2005,91123.54,no
13174,2001,16043.96,yes
15866,2007,51197.87,yes
11871,2006,74060.87,no
17635,1999,32222.66,yes
18466,2006,26129.87,yes
17828,2001,88099.83,no
10984,2002,81441.14,yes
9645,2006,69025.81,yes
9133,2000,43005.66,yes
6657,2007,72457.14,no
11007,2015,61418.1,no
15890,2008,95856.58,yes
9722,2001,47468.8,yes
7707,2000,57628.09,yes
11963,1999,67773.9,no
17522,2002,27983.28,yes
11530,1999,30048.86,yes
10507,2001,69954.14,yes
13286,1999,68798.47,no
9277,2011,96111.84,yes
16971,1999,98987.32,no
21516,1999,93424.64,no
10159,2001,51221.41,yes
5893,2005,50693.66,no
16974,2000,60867.55,no
11403,2000,33329.29,yes
11887,1999,86023.79,yes
21135,2003,38155.67,yes
19074,2002,72108.55,no
14619,2003,87508.53,no
9574,2007,101103.66,yes
14989,2005,71912.15,yes
19407,2007,75682.44,no
9601,2008,49830.26,yes
14428,2010,96731.56,no
18280,2002,80440.24,no
13058,2006,62700.93,no
13939,2000,75160.29,yes
20014,2006,104705.85,yes
10707,2003,90899.86,yes
25794,2000,103643.22,no
12837,1999,89084.24,yes
13030,2003,88657.86,no
19950,2011,61331.48,no
16192,2001,41625.0,no
14881,1998,30430.91,yes
14776,2003,79290.13,yes
12744,2012,108974.78,no
13013,2011,105346.4,no
17064,2005,25477.08,yes
11450,2007,91190.27,no
10365,2012,65653.57,yes
5977,2006,93325.37,no
14652,1999,90110.38,no
23824,2011,86579.53,no
15625,1999,43509.27,no
12123,2000,43966.31,yes
12239,2000,38979.54,yes
12921,2001,58125.86,yes
39226,1998,42052.8,no
8228,2005,73584.98,yes
12987,2008,48287.26,yes
8270,1999,67867.53,no
19064,2006,68562.61,no
22539,2011,80135.94,no
18105,2001,82571.99,no
15291,2005,58997.33,no
21951,2003,86868.2,no
19103,2016,92393.34,no
13961,1998,82078.97,no
12351,2002,51097.21,yes
8052,2001,76746.96,no
15889,2010,31126.22,yes
8402,2001,87421.77,yes
5945,2004,54789.0,yes
26910,2007,47870.87,yes
9795,2006,77192.03,yes
17583,2000,60215.14,no
10462,2005,38926.9,yes
20068,2008,77690.95,no
18722,2012,42749.08,yes
21496,2002,37562.77,yes
15881,2003,25479.97,yes
14753,1998,84121.67,yes
13194,2006,96223.45,yes
12804,2007,52092.5,yes
11706,2012,53350.22,yes
12489,1998,43823.16,yes
17617,2001,92956.75,no
363,2003,85323.93,no
15572,2001,68765.44,no
5058,1998,48849.12,no
13006,2016,76616.81,no
8283,2000,39044.74,yes
10803,1998,39937.5,yes
11467,2010,70756.45,yes
7061,2011,65982.96,yes
15228,2013,73918.08,no
12968,2000,47279.05,no
13809,2000,35508.95,yes
6424,2005,71871.52,yes
8448,2000,18234.99,yes
12992,2003,93710.17,yes
6552,2002,27831.26,yes
8777,1998,41566.03,yes
20462,2010,72281.71,no
8480,2001,58031.32,yes
17176,2001,63153.7,no
16105,1999,61992.78,no
20410,2003,60826.02,no
9057,2000,78971.4,no
7281,2012,80857.98,no
19218,2003,41841.71,yes
19190,1998,74738.67,no
16277,2003,37754.27,yes
12244,1999,48880.96,yes
11567,2013,111232.69,yes
17867,2006,43522.35,yes
15359,2008,89175.83,no
17836,2010,84895.96,no
8797,2005,31159.1,yes
14914,2000,33671.6,yes
10179,2006,75378.47,no
12906,2006,52821.78,no
9242,1999,97969.32,yes
10685,2006,82130.68,no
11101,2007,69938.01,yes
25337,1998,60151.71,no
12532,2002,90791.51,no
23931,2011,69216.95,no
16078,1999,51786.56,yes
22354,2000,85492.67,no
17237,1998,78506.26,no
9491,2008,44195.14,no
11012,2011,83396.53,no
17270,2005,97387.88,no
18218,2000,11849.57,yes
19443,2000,65749.97,no
13904,2002,57209.28,no
18151,2002,22733.76,yes
12650,2005,68274.8,no
18188,2010,50935.23,no
13185,2002,83821.74,yes
10665,2013,76443.36,yes
13594,2008,94356.13,yes
15316,2001,20653.47,yes
20339,1998,44063.92,yes
18711,2010,74128.76,yes
13559,1998,18239.6,yes
13653,2002,42592.0,yes
15942,2007,93973.19,no
10138,1998,13019.74,yes
17808,2008,80643.48,no
6638,1998,47153.12,yes
12036,2001,61161.66,no
19957,1998,11053.79,yes
11781,1998,21895.94,yes
10937,2000,80450.28,no
13584,1999,87141.84,no
7153,2004,50261.76,yes
17220,2006,91365.12,no
11802,2000,96716.21,yes
6943,1999,46222.38,yes
13202,2004,93889.4,yes
13992,2001,58691.22,no
8860,2007,97824.01,no
10870,2008,85152.64,no
27028,2002,45171.94,yes
8479,2005,43950.05,no
8248,1999,31848.92,yes
13212,2005,47803.95,no
11013,1998,91780.26,no
7835,2008,81355.74,yes
9752,2003,77585.11,no
9472,2014,61947.0,no
15465,2005,64948.91,no
14284,2016,87487.93,no
13146,2005,48875.07,no
13005,1998,16354.14,yes
16136,2002,59443.2,no
10007,2004,49207.48,yes
10333,2012,71282.48,yes
11986,1998,18887.11,yes
12348,2009,37244.93,yes
23626,2006,66905.3,no
18076,2005,50313.96,no
12061,2010,82721.7,yes
18689,2009,105926.86,yes
11402,2000,66987.51,yes
22204,2016,70302.9,no
14319,2006,69005.74,yes
11917,1999,76833.14,no
10795,2002,75393.38,no
8978,2003,47033.03,yes
16460,2008,111319.48,yes
23367,2006,109509.96,no
17560,2005,58570.17,yes
9088,2002,80390.26,no
14845,1999,29982.33,yes
18333,2015,49528.74,yes
11192,2010,96402.43,no
9045,1998,27616.01,yes
7584,1999,55931.97,yes
9439,2013,111263.35,yes
16436,2013,101415.11,yes
13803,2001,59464.51,yes
20915,2007,73355.27,no
15654,2008,45748.06,yes
31071,2003,83686.13,no
20578,2002,58200.34,yes
11360,2016,45010.88,yes
7458,1999,47584.23,yes
12772,2006,109009.54,yes
13015,1998,99045.26,no
17942,2009,29868.87,yes
16889,1998,83735.84,no
11259,2006,92916.94,no
11321,2004,68956.22,yes
10154,2011,57027.85,yes
15923,1998,47064.3,yes
6535,2015,69811.07,no
12305,2002,48412.88,no
14301,1998,43033.47,yes
8737,2003,16599.03,yes
17801,1999,86069.22,no
19809,2002,42491.27,yes
18143,2008,78235.69,no
19376,2004,97741.64,no
8806,2000,86830.79,yes
5837,2004,83896.38,yes
7997,2000,40088.17,yes
15296,2007,81708.98,no
8217,2005,22289.87,yes
8375,1998,64637.98,no
12150,1999,78807.86,yes
22582,2006,62887.42,no
20440,2003,80445.86,no
15427,2006,65019.81,no
16970,2000,58790.46,yes
16026,2000,86150.41,no
12754,2000,9293.94,yes
13075,1998,65290.11,yes
13535,2001,85602.03,no
15084,2007,47500.47,yes
18276,2007,39371.14,yes
17744,2009,89442.04,no
14595,2008,71977.33,no
16288,2001,90437.61,no
13386,1999,87274.13,yes
25878,2006,66781.04,no
15644,2001,28969.82,yes
23598,2001,70733.72,no
9663,1999,44224.36,yes
7275,2016,86577.51,no
13565,2004,58802.03,yes
13663,1999,25487.71,yes
11252,2008,86716.05,yes
21990,2001,80774.07,no
17866,2011,97830.91,no
13735,1999,36007.16,yes
19491,2005,79193.58,no
10298,2002,33276.52,yes
13521,2004,40890.38,yes
13661,2002,83537.38,no
15539,1999,95702.51,no
17786,2005,68048.91,no
6674,1999,98997.7,no
15567,1999,32612.92,yes
14256,2010,77546.13,no
17201,1998,56317.72,yes
9826,1998,27282.65,yes
16791,2008,55897.76,no
16539,2014,109411.39,no
19808,2005,24570.35,yes
9876,2003,90319.67,yes
10412,1998,39623.16,yes
12580,1999,101462.86,yes
19999,2012,90201.92,yes
17117,2001,74199.69,no
9361,2005,35655.12,yes
8179,2003,83046.1,no
7938,2006,92798.09,yes
14152,2017,108172.3,yes
16288,2005,89275.96,no
19980,2003,47098.18,yes
22170,2007,68341.83,no
8864,2000,67102.04,no
13013,2001,74605.62,no
12550,2001,63034.22,yes
12765,2006,92265.13,no
18221,2001,48439.62,no
19846,2002,34519.9,yes
12668,2000,16465.29,yes
9427,2009,25203.52,yes
10820,2007,76870.85,no
12590,2011,96976.24,no
12722,2002,58494.81,yes
12644,2005,42059.07,yes
22475,2006,83687.69,no
10623,1998,78917.4,yes
12184,1999,57166.83,yes
13361,2014,69991.35,no
23623,2004,55854.88,no
12809,2008,32300.81,yes
10615,2011,90582.0,yes
14525,2011,44307.55,yes
5888,2007,95932.04,no
14945,2003,89718.57,yes
5625,2006,67155.02,no
12930,2008,39834.33,yes
10342,2002,111667.86,yes
8741,2005,74488.52,no
23676,2003,53082.76,no
10015,1998,53241.97,no
27865,2010,51258.26,yes
11378,1999,23224.9,yes
13416,2012,60247.18,yes
21371,2012,47526.35,no
9435,2000,93855.84,yes
13317,2002,108208.52,no
19102,2007,103034.32,yes
21274,2000,89397.22,yes
17894,2008,94265.92,no
16381,2001,69841.93,no
28383,2007,58362.96,yes
11108,1998,60808.2,yes
11070,2009,109228.42,yes
8099,2011,49220.32,no
9620,2005,47678.75,yes
15431,1999,71376.62,no
15264,2006,30603.41,yes
15027,2004,45297.62,yes
9789,1999,28143.69,yes
9265,2008,24023.83,yes
9984,2006,100720.95,yes
16899,2008,77894.24,no
14971,2000,33657.3,yes
20882,2009,81841.77,no
12049,2014,60055.7,no
10612,2009,66399.68,yes
16175,2000,76778.44,no
10812,2008,113106.14,no
24393,2004,51777.6,yes
17416,2014,98483.88,no
9094,1998,60188.5,yes
12656,2001,42276.11,no
17336,1998,74108.33,no
16802,2002,97417.17,no
8668,2013,110591.17,no
9183,2001,42187.07,no
8050,1998,8686.57,yes
13476,2006,40554.56,yes
14156,1998,10548.56,yes
19508,2007,59623.13,no
17506,2005,41681.49,yes
7699,2003,56038.41,yes
11297,2000,35681.76,yes
7397,1998,61663.32,yes
10080,2003,97004.52,no
8041,2003,63546.9,no
18269,2002,75596.63,no
11784,1999,99656.87,no
12983,2004,35677.38,yes
10996,2007,43915.0,yes
20580,2009,96230.76,no
15452,1998,106145.48,no
8123,1998,100400.57,no
11317,2009,102967.9,no
14854,2005,35686.44,yes
13276,2002,70628.8,yes
21482,1999,75515.34,no
21961,1999,64837.1,no
11862,2001,27515.9,yes
15645,1999,70650.39,no
10008,1998,87193.28,no
23361,1998,96358.8,no
10523,1998,101704.75,no
13229,2004,95819.37,no
12551,2002,54242.76,yes
13947,2011,85269.92,no
13391,2002,100759.3,yes
11960,2000,103527.2,yes
7939,1998,94273.58,no
9879,2011,79243.13,yes
19815,2002,81901.23,no
9459,2005,35434.16,yes
8111,1999,78597.04,no
19679,2005,54894.8,yes
27190,2015,81065.04,no
10668,2001,84230.59,no
22011,1999,21423.47,yes
21242,2008,42573.35,yes
22652,1999,62793.49,no
9952,2011,44969.24,yes
16402,1999,63318.05,no
10682,2002,49478.36,yes
15927,2010,61203.45,no
12619,2006,20508.03,yes
12018,2017,57967.01,yes
7653,2011,99433.39,yes
10942,1999,56370.46,yes
18881,2004,34440.02,yes
9483,2008,54917.82,yes
8526,2005,90130.0,no
9678,2014,115291.4,yes
10344,2002,57450.78,yes
18116,2001,51998.31,yes
16319,2000,58128.46,yes
11409,2013,91693.16,yes
9421,2008,87758.07,yes
8598,2010,49967.6,no
15309,2007,105056.21,yes
14992,2002,35622.05,yes
8265,2014,36205.68,yes
12153,1999,53026.4,yes
10535,2008,80506.81,no
